naziv,naselje,cijena_kafe_km,ocjena,terasa,vrsta
Cafe Wintera,Stupine,3.5,4.7,Da,Lounge Bar
Caffe Cafe,Centar,3.8,4.8,Da,Gradski kafe
Caffe Allegro,Stupine,3.2,4.6,Da,Kafeterija
Gato,Centar,3.0,4.5,Ne,Kafe bar
Verdi,Centar,3.5,4.9,Da,Kafeterija
La Linea,Slatina,2.8,4.4,Da,Kvartovski kafe
Cafe de Paris,Stari Grad,2.5,4.3,Ne,Kafe bar
Sloboda Caffe Bar,Centar,3.5,4.8,Da,Sportski kafe
Lobi,Bulevar,3.0,4.6,Da,Moderni kafe
Osmica,Ilinčica,4.0,4.9,Da,Vidikovac/Restoran
Index,Centar,2.8,4.1,Ne,Studentski kafe
Kapija City Pub,Stari Grad,3.2,4.5,Da,Pub
Golden Card,Sjenjak,2.7,4.3,Ne,Kvartovski kafe
Biberon,Brčanska Malta,3.0,4.4,Da,Slastičarna/Kafe
Kafeterija Tuzla,Centar,3.8,4.8,Da,Kafeterija
Cafeterteria Intermezzo,Centar,3.6,4.7,Da,Kafeterija
Wint Lounge Bar,Stupine,3.5,4.7,Da,Lounge Bar
Dolce Vita,Stupine,3.3,4.5,Da,Kafe bar
Coffee Zone,Centar,3.2,4.4,Ne,Kafeterija
Fabrika Coffee,Centar,3.7,4.8,Da,Kafeterija
Caffe Pauza,Centar,3.0,4.6,Da,Kafe bar
Lounge Caffe Pauza,Slatina,2.9,4.3,Da,Kafe bar
Segafredo,Centar,4.0,4.7,Da,Kafeterija
Shamrock,Centar,3.5,4.6,Da,Pub
Toranj,Stupine,3.4,4.5,Da,Kafe bar
Caffe Bar Studio,Centar,3.1,4.3,Ne,Kafe bar
Caffe Bar Renata,Stupine,3.2,4.5,Da,Kafe bar
Lijepa Priča,Centar,3.5,4.8,Da,Kafeterija
Café Kvart Tuzla,Slatina,2.8,4.2,Ne,Kvartovski kafe
Caffe Bar Bluesberry,Centar,3.3,4.5,Da,Kafe bar
Cafe New York,Centar,3.6,4.6,Da,Gradski kafe
Caffe Korzo,Centar,3.5,4.7,Da,Gradski kafe
Bar Panonika,Centar,3.2,4.4,Da,Kafe bar
Lounge Skver,Stari Grad,3.0,4.3,Da,Lounge Bar
Coffee Break 32,Sjenjak,2.8,4.1,Ne,Kafeterija
City Spot,Stupine,3.4,4.6,Da,Kafe bar
Pub Mramor,Mramor,2.3,4.0,Da,Pub
Kafana Evropa,Stari Grad,2.2,4.2,Ne,Tradicionalna kafana
Central Bar,Centar,3.6,4.7,Da,Gradski kafe
Corner Slatina,Slatina,2.7,4.3,Ne,Kvartovski kafe
Boutique Kafe,Bulevar,3.8,4.8,Da,Kafeterija
Retro Stupine,Stupine,3.0,4.4,Da,Kafe bar
Avenija 43,Stupine,3.3,4.5,Da,Kafe bar
Piazza Centar,Centar,3.9,4.9,Da,Kafeterija
Siti Kafa,Brčanska Malta,2.8,4.2,Ne,Kvartovski kafe
Caffe Express 46,Solina,2.5,4.1,Ne,Kafe bar
Bar Club 47,Ilinčica,3.1,4.4,Da,Lounge Bar
Lounge Break 48,Kula,2.6,4.0,Ne,Kafe bar
Coffee Moment 49,Trnovac,2.9,4.3,Da,Kafe bar
Kafana Spot 50,Borić,2.4,4.2,Ne,Kvartovski kafe
